"","study","group","treatment_effect","standard_error","treat_n","control_n"
"1",13,"Female",0.156250487959944,0.0221952786725014,7984,7500
"2",13,"Male",0.0967189127358142,0.102853122802451,7204,7073
"3",13,"Black",0.160846571217757,0.125590769169852,7695,7444
"4",13,"White",0.121512209909968,0.00457352346647531,13951,14432
"5",13,"Latinx",0.141540105551714,0.0477254004944116,13666,13206
"6",13,"18-24",-0.0266118994702119,0.0629491892065853,1034,1512
"7",13,"25-30",0.178691060253885,0.0497792455004528,10434,10751
"8",13,"31-45",0.0109490474341437,0.108095754229464,15627,15562
"9",13,"46-60",-0.0243578349966556,0.0535426117051393,2368,2042
"10",13,"61+",0.153989575557411,0.0234013355290517,17890,18146
"11",14,"Female",-0.0283692424970213,0.0927082896493375,17896,17838
"12",14,"Male",0.165097353777615,0.0590848102392629,10933,10832
"13",14,"Black",0.0172298888834193,0.0315883650258183,15386,15533
"14",14,"White",0.088221725179581,0.110394051727839,14227,14163
"15",14,"Latinx",0.195256749933818,0.0656447340948507,6497,6951
"16",14,"18-24",0.15146654625074,0.0172841615155339,990,1174
"17",14,"25-30",0.183151048003463,0.0565445906110108,17645,17590
"18",14,"31-45",0.0647370149453636,0.0317051056390628,9515,9099
"19",14,"46-60",-0.0249253441169858,0.0275602105213329,15391,15663
"20",14,"61+",0.13203152974695,0.0156794457649812,16330,15949
"21",15,"Female",0.100863420880632,0.043860531325452,1716,1552
"22",15,"Male",0.00640457667480223,0.0582686512209475,15966,15979
"23",15,"Black",0.0280971721443348,0.0686874886490405,3450,3281
"24",15,"White",-0.0294428631893825,0.0619793868884444,10367,10312
"25",15,"Latinx",0.151491558853537,0.0596227809963748,1301,1436
"26",15,"18-24",-0.00809465311118401,0.0294578447695822,17663,18012
"27",15,"25-30",0.151973425989272,0.120422079266049,11457,11181
"28",15,"31-45",-0.0239804931753315,0.0894769418323413,14889,14475
"29",15,"46-60",0.160188061151421,0.132931159586646,9995,9774
"30",15,"61+",0.180304858180694,0.124387444688007,15929,16158
"31",16,"Female",0.0256278350672219,0.0400954597415403,5635,5827
"32",16,"Male",0.0131211021621712,0.0629397676847875,114,506
"33",16,"Black",0.0680505451506469,0.0673727701017633,9727,9476
"34",16,"White",0.0330895696026273,0.113842109298334,4596,4118
"35",16,"Latinx",0.0969739200705662,0.0152471728688106,17104,16815
"36",16,"18-24",0.172950610603904,0.0990225401185453,2647,2309
"37",16,"25-30",0.0036012811535038,0.0111177473776042,3617,3144
"38",16,"31-45",0.132443913642783,0.0150902751525864,2275,2317
"39",16,"46-60",0.0869561207208317,0.0395817987443879,13492,13609
"40",16,"61+",0.128700590511784,0.0547742858231068,487,434
"41",17,"Female",0.184148991656955,0.125230845517479,3728,4075
"42",17,"Male",0.139856867576251,0.0743289564261213,13254,12965
"43",17,"Black",0.169475512141362,0.0473356490712613,1217,804
"44",17,"White",0.0190677034675609,0.126557038747706,4945,4990
"45",17,"Latinx",0.0796108728088438,0.0785533149195835,8521,8752
"46",17,"18-24",0.17023730384605,0.0180958071444184,15748,16014
"47",17,"25-30",0.0575677613995504,0.0463694584788755,10714,10428
"48",17,"31-45",0.147069269179367,0.0568576374640688,12146,12468
"49",17,"46-60",0.0925700548554305,0.0850543326735497,11980,12219
"50",17,"61+",-0.0442239946019836,0.0885433973167092,7127,6764
"51",18,"Female",0.00817584027000703,0.0352374696852639,1920,2044
